City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
412,teguldet,100,RU,1566947775,98,57.31,88.17,57.94,6.35
413,agua verde,75,MX,1566947775,79,22.89,-105.97,89.01,2.24
414,zimapan,99,MX,1566947776,74,20.75,-99.35,72.34,6.06
415,luangwa,18,MZ,1566947776,44,-15.62,30.4,67.12,3.76
416,krasnyy chikoy,49,RU,1566947776,93,50.36,108.75,51.28,2.33
417,shetpe,0,KZ,1566947776,40,44.14,52.16,67.48,7.11
418,kendari,99,ID,1566947776,71,-3.99,122.52,74.68,3.31
419,luwuk,96,ID,1566947777,86,-0.95,122.79,63.34,6.87
420,hualmay,17,PE,1566947777,83,-11.1,-77.61,59.02,3.6
421,qandala,11,SO,1566947777,45,11.47,49.87,89.8,21.79
422,lata,60,IN,1566947777,89,30.78,78.62,41.02,1.57
423,zaysan,0,KZ,1566947777,31,47.47,84.87,67.12,7.81
424,sosva,100,RU,1566947778,96,59.17,61.86,41.92,7.99
425,namwala,85,ZM,1566947778,50,-15.75,26.45,68.74,3.53
426,roma,0,IT,1566947705,78,41.89,12.48,77.0,2.24
427,laguna,40,BZ,1566947781,74,16.17,-88.94,86.0,9.17
428,bosaso,22,SO,1566947781,54,11.28,49.18,89.08,21.52
429,mount holly,1,US,1566947782,64,39.99,-74.79,75.2,6.93
430,korhogo,100,CI,1566947782,96,9.46,-5.63,71.44,4.72
431,arkhangelskoye,12,RU,1566947782,93,54.46,37.62,48.94,6.96
432,alyangula,7,AU,1566947783,64,-13.85,136.42,69.8,4.7
